lat,lng,datetime,uid,seq
43.8430139,10.507994,2011-02-03 8:34:04,1,1
43.54427,10.32615,2011-02-03 09:34:04,1,1
43.70853,10.4036,2011-02-03 10:34:04,1,2
43.77925,11.24626,2011-02-04 10:34:04,1,2
43.8430139,10.507994,2011-02-03 08:34:04,2,1
43.70853,10.4036,2011-02-03 09:34:04,2,1
43.8430139,10.507994,2011-02-04 10:34:04,2,2
43.54427,10.32615,2011-02-04 11:34:04,2,2
43.54427,10.32615,2011-02-03 08:34:04,3,1
43.70853,10.4036,2011-02-03 09:34:04,3,2
43.8430139,10.507994,2011-02-04 10:34:04,3,3
43.77925,11.24626,2011-02-04 11:34:04,3,4
43.70853,10.4036,2011-02-04 10:34:04,4,1
43.54427,10.32615,2011-02-04 11:34:04,4,1
43.77925,11.24626,2011-02-04 12:34:04,4,1
43.70853,10.4036,2011-02-04 10:34:04,5,1
43.77925,11.24626,2011-02-04 11:34:04,5,1
43.8430137,10.507994,2011-02-05 12:34:04,5,1
43.84301395,10.507994,2011-02-04 10:34:04,6,1
43.54427,10.32615,2011-02-04 11:34:04,6,1
43.8430139,10.507994,2011-02-04 10:34:04,7,1
43.8430139,10.507994,2011-02-04 11:34:04,7,1
43.77925,11.24626,2011-02-05 12:34:04,7,2
