hours-per-week,age,income,date,occupation,native-country,location,datetime
79,0.0,23546,12/9/1991,executive,location,80.90059810405683:180.0,2001-01-07 19:00:36.279270
79,100.0,10230,13/6/2040,specialist,region,-90.0:-180.0,2001-01-07 19:00:36.279270
99,0.0,0,13/6/2040,executive,region,-90.0:-180.0,2001-01-07 19:00:36.279270
99,100.0,152000,13/6/2040,executive,region,80.90059810405683:180.0,2031-08-24 16:21:06
99,64.4,54120,12/9/1991,executive,location,80.90059810405683:180.0,2031-08-24 16:21:06
99,64.4,32524,12/9/1991,specialist,region,-90.0:-180.0,2031-08-24 16:21:06
79,100.0,14620,13/6/2040,executive,location,80.90059810405683:180.0,2026-09-22 21:52:38.110888
99,100.0,18500,13/6/2040,specialist,region,-90.0:-180.0,2026-09-22 21:52:38.110888
99,64.4,24630,13/6/2040,executive,region,-90.0:-180.0,2026-09-22 21:52:38.110888
99,0.0,27544,12/9/1991,executive,region,-90.0:-180.0,2026-09-22 21:52:38.110888
